model,instance_id,repo,n_runs_control,n_runs_codedna,f1_control_mean,f1_codedna_mean,f1_delta,f1_control_std,f1_codedna_std
deepseek-chat,django__django-11138,django/django,6,6,0.765608,0.873016,0.107407,0.146404,0.143736
deepseek-chat,django__django-11532,django/django,7,7,0.455556,0.565079,0.109524,0.041996,0.122068
deepseek-chat,django__django-11808,django/django,3,3,0.316162,0.571429,0.255267,0.200799,0.000000
deepseek-chat,django__django-13495,django/django,3,3,0.857143,0.923077,0.065934,0.000000,0.000000
deepseek-chat,django__django-14480,django/django,3,3,0.335637,0.357282,0.021645,0.083552,0.095551
deepseek-chat,django__django-11883,django/django,3,3,0.841026,0.904762,0.063736,0.058019,0.067344
deepseek-chat,django__django-13121,django/django,3,3,0.605556,0.888889,0.283333,0.149278,0.000000
deepseek-chat,django__django-15629,django/django,3,3,0.171717,0.370370,0.198653,0.136270,0.104757
deepseek-chat,django__django-16263,django/django,3,3,0.281481,0.690476,0.408995,0.083805,0.084179
deepseek-chat,django__django-11400,django/django,3,3,0.456349,0.655556,0.199206,0.208551,0.122726
